ngo5,paau2,heoi3,cyu4-fong2,ling1,bui1,seoi2,bei2,maa4-maa1,#,maa4-maa1,teng1-dou2,ngo5,soeng2,heoi3,ling1,seoi2,#,sai3-sai3-seng1,tung4,ngo5,gong2,#,#,m4-goi1-saai3,sai3-lou2,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I,to run,to go,kitchen,take,cup,water,to give,mother,#,mother,to hear,I,to want,to go,take,water,#,small and low voice,and,I,to say,#,#,thank you,younger brother,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[3a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
家姐,入,房,拎,電話,打畀,爸爸,話,媽媽,唔舒服,。,講,完,電話,，,家姐,又,話,：,「,喂,，,細佬,，,我,同,爸爸,講,咗,喇,！,爸爸,話,，,媽媽,要,瞓,多,一陣,，,不如,我哋,幫,媽媽,做,家務,，,你,話,好唔好,？,」,,,,,,,,,,,,,,,,,
gaa1-ze1,jap6,fong2,ling1,din6-waa2,daa2-bei2,baa4-baa1,waa6,maa4-maa1,m4-syu1-fuk6,#,gong2,jyun4,din6-waa2,#,gaa1-ze1,jau6,waa6,#,#,wai3,#,sai3-lou2,#,ngo5,tung4,baa4-baa1,gong2,zo2,laa3,#,baa4-baa1,waa6,#,maa4-maa1,jiu3,fan3,do1,jat1-zan6,#,bat1-jyu4,ngo5-dei6,bong1,maa4-maa1,zou6,gaa1-mou6,#,nei5,waa6,hou2-m4-hou2,#,#,,,,,,,,,,,,,,,,,
elder sister,to enter,room,take,telephone,to call,father,to say,mother,not feeling well,#,to say,finish,telephone,#,elder sister,again,to say,#,#,Hey!,#,younger brother,#,I,to,father,to say,-en,already,#,father,to say,#,mother,need to,to sleep,more,a while,#,how about,we,to help,mother,to do,housework,#,you,to say,good or not,#,#,,,,,,,,,,,,,,,,,
[3b],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
我,笑,住,點頭,，,話,：,「,好,啊,！,我,去,廁所,洗,衫,褲,，,家姐,你,去,抹,個,廳,同,房,啦,！,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ngo5,siu3,zyu6,dim2-tau4,#,waa6,#,#,hou2,aa3,#,ngo5,heoi3,ci3-so2,sai2,saam1,fu3,#,gaa1-ze1,nei5,heoi3,mut3,go3,teng1,tung4,fong2,laa1,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I,to laugh,-ing,to nod,#,to say,#,#,good,(particle),#,I,to go,toilet,to wash,clothes,pants,#,elder sister,you,to go,wipe,(measure),living room,and,room,(particle),#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[4a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
講,完,，,我哋,兩個,跑,咗,入,房,。,我,去,拎,啲,衫,褲,入,廁所,洗,，,家姐,入,房,抹,牀,、,房,門,同,櫃,。,我哋,仲,一齊,幫,屋企,兩,隻,兔仔,同,狗仔,沖涼,。,好,快,，,我哋,已經,幫,媽媽,做,好,晒,家務,。,媽媽,見,我,同,家姐,都,係,好,幫手,，,覺得,好,開心,。
gong2,jyun4,#,ngo5-dei6,loeng5-go3,paau2,zo2,jap6,fong2,#,ngo5,heoi3,ling1,di1,saam1,fu3,jap6,ci3-so2,sai2,#,gaa1-ze1,jap6,fong2,mut3,cong4,#,fong2,mun4,tung4,gwai6,#,ngo5-dei6,zung6,jat1-cai4,bong1,uk1-kei2,loeng5,zek3,tou3-zai2,tung4,gau2-zai2,cung1-loeng4,#,hou2,faai3,#,ngo5-dei6,ji5-ging1,bong1,maa4-maa1,zou6,hou2,saai3,gaa1-mou6,#,maa4-maa1,gin3,ngo5,tung4,gaa1-ze1,dou1,hai6,hou2,bong1-sau2,#,gok3-dak1,hou2,hoi1-sam1,#
to say,finish,#,we,two,to run,-en,to enter,room,#,I,to go,take,some,clothes,pants,to enter,toilet,to wash,#,elder sister,to enter,room,wipe,bed,#,room,door,and,cabinet,#,we,even,together,to help,home,two,(measure),rabbit,and,puppy,take a shower,#,very,fast,#,we,already,to help,mother,to do,well,all,housework,#,mother,to see,I,and,elder sister,"all, also",is,good,helper,#,to feel,very,happy,#
[5a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
夜晚,爸爸,返,到,屋企,嗰陣,，,媽媽,已經,好返,晒,，,唔使,瞓,喇,！,媽媽,喺,牀,上面,起身,，,同,我哋,講,：,「,唔該晒,啊,，,等,我,整,啲,細佬,同,家姐,好,鍾意,嘅,餸菜,畀,你哋,食,啦,！,」,,,,,,,,,,,,,,,,,,,,,,
je6-maan5,baa4-baa1,faan1,dou3,uk1-kei2,go2-zan6,#,maa4-maa1,ji5-ging1,hou2-faan1,saai3,#,m4-sai2,fan3,laa3,#,maa4-maa1,hai2,cong4,soeng6-min6,hei2-san1,#,tung4,ngo5-dei6,gong2,#,#,m4-goi1-saai3,aa3,#,dang2,ngo5,zing2,di1,sai3-lou2,tung4,gaa1-ze1,hou2,zung1-ji3,ge3,sung3-coi3,bei2,nei5-dei6,sik6,laa1,#,#,,,,,,,,,,,,,,,,,,,,,,
night,father,back,to,home,that time,#,mother,already,get well,all,#,no need,to sleep,already,#,mother,at,bed,above,to get up,#,and,we,to say,#,#,thank you,(particle),#,to wait,I,to make,some,younger brother,and,elder sister,very,to like,(linker),food,to give,you (plural),to eat,(particle),#,#,,,,,,,,,,,,,,,,,,,,,,
[5b],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
爸爸,都,有,讚,我哋,，,佢,話,：,「,家姐,、,細佬,，,多謝,你哋,幫,爸爸,照顧,媽媽,。,你哋,有,幫,媽媽,手,，,係,大個仔,大個女,喇,！,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
baa4-baa1,dou1,jau5,zaan3,ngo5-dei6,#,keoi5,waa6,#,#,gaa1-ze1,#,sai3-lou2,#,do1-ze6,nei5-dei6,bong1,baa4-baa1,ziu3-gu3,maa4-maa1,#,nei5-dei6,jau5,bong1,maa4-maa1,sau2,#,hai6,daai6-go3-zai2,daai6-go3-neoi2,laa3,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
father,"all, also",have,to praise,we,#,he,to say,#,#,elder sister,#,younger brother,#,thank you,you (plural),to help,father,look after,mother,#,you (plural),have,to help,mother,hand,#,is,big boy,big girl,already,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[6a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
第二日,，,爸爸,畀,咗,架,我,好,鍾意,玩,嘅,玩具,巴士,我,，,同埋,家姐,好,鍾意,嘅,衫,畀,家姐,——,佢,話,係,乖,嘅,小朋友,先,有,㗎,！,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dai6-ji6-jat6,#,baa4-baa1,bei2,zo2,gaa3,ngo5,hou2,zung1-ji3,waan2,ge3,wun6-geoi6,baa1-si2,ngo5,#,tung4-maai4,gaa1-ze1,hou2,zung1-ji3,ge3,saam1,bei2,gaa1-ze1,#,keoi5,waa6,hai6,gwaai1,ge3,siu2-pang4-jau5,sin1,jau5,gaa3,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
the next day,#,father,to give,-en,(measure),I,very,to like,to play,(linker),toy,bus,I,#,and,elder sister,very,to like,(linker),clothes,to give,elder sister,#,he,to say,is,well-behaved,(linker),child,then,have,(particle),#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[6b],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
我,以後,都,要,做,一個,幫,媽媽,做嘢,嘅,小朋友,！,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ngo5,ji5-hau6,dou1,jiu3,zou6,jat1-go3,bong1,maa4-maa1,zou6-je5,ge3,siu2-pang4-jau5,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I,in the future,"all, also",to want,to do,one,to help,mother,to work,(linker),child,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
