keoi5-dei6,mou5,lei5-dou3,Aa3-Ng5,#,zyun3-san1,loeng5,go3,jan4,zau2,zo2,#,,,,,
they,didn't,care,Aa Five,#,turn around,two,(measure),people,leave,-ed,#,,,,,
[6b],,,,,,,,,,,,,,,,
阿五,最後,都係,跟住,一齊,去,。,,,,,,,,,,
Aa3-Ng5,zeoi3-hau6,dou1-hai6,gan1-zyu6,jat1-cai4,heoi3,#,,,,,,,,,,
Aa Five,at the end,also,follow,together,to go,#,,,,,,,,,,
[7a],,,,,,,,,,,,,,,,
佢哋,到,咗,之後,，,見到,好多,條,魚,，,,,,,,,
keoi5-dei6,dou3,zo2,zi1-hau6,#,gin3-dou2,hou2-do1,tiu4,jyu2,#,,,,,,,
they,arrive,-ed,after,#,see,many,(measure),fish,#,,,,,,,
[7b],,,,,,,,,,,,,,,,
佢哋,好,開心,喺度,講,：,「,正,啊,！,好多,魚,啊,。,」,,
keoi5-dei6,hou2,hoi1-sam1,hai2-dou6,gong2,#,#,zeng3,aa3,#,hou2-do1,jyu2,aa3,#,#,,
they,very,happy,right here,say,#,#,great,(particle),#,many,fish,(particle),#,#,,
[8a],,,,,,,,,,,,,,,,
突然,有,條,魚,游,過嚟,。,佢哋,驚咗一驚,，,,,,,,,
dat6-jin4,jau5,tiu4,jyu2,jau4,gwo3-lai4,#,keoi5-dei6,geng1-zo2-jat1-geng1,#,,,,,,,
suddenly,there is,(measure),fish,swim,come here,#,they,shocked,#,,,,,,,
[8b],,,,,,,,,,,,,,,,
第一,次,見到,條,魚,大,過,佢哋,對,腳,。,,,,,,
dai6-jat1,ci3,gin3-dou2,tiu4,jyu2,daai6,gwo3,keoi5-dei6,deoi3,goek3,#,,,,,,
the first,time,see,(measure),fish,big,than,they,pair of,feet,#,,,,,,
[9a],,,,,,,,,,,,,,,,
佢哋,好,想,捉到,嗰,條,魚,。,阿一,同,阿二,嘈,起上嚟,。,,,
keoi5-dei6,hou2,soeng2,zuk1-dou2,go2,tiu4,jyu2,#,Aa3-Jat1,tung4,Aa3-Ji6,cou4,hei2-soeng5-lai4,#,,,
they,really,want to,catch,that,(measure),fish,#,Aa One,with,Aa Two,argue,(particle),#,,,
[9b],,,,,,,,,,,,,,,,
阿一,：,「,你,都,冇,力,嘅,，,捉,唔到,佢,㗎喇,，,等我嚟啦,！,」
Aa3-Jat1,#,#,nei5,dou1,mou5,lik6,ge2,#,zuk1,m4-dou2,keoi5,gaa3-laa3,#,dang2-ngo5-lai4-laa1,#,#
Aa One,#,#,you,also,don't have,power,(particle),#,catch,cannot,it,(particle),#,let me do it,#,#
[9c],,,,,,,,,,,,,,,,
阿二,：,「,你,睇下,我,啲,老鼠仔,先,啦,。,」,,,,,
Aa3-Ji6,#,#,nei5,tai2-haa5,ngo5,di1,lou5-syu2-zai2,sin1,laa1,#,#,,,,,
Aa Two,#,#,you,see,I,those,muscular biceps,first,(particle),#,#,,,,,
[10],,,,,,,,,,,,,,,,
佢哋,兩,個,都,拉,住,條,魚竿,。,,,,,,,,
keoi5-dei6,loeng5,go3,dou1,laai1,zyu6,tiu4,jyu4-gon1,#,,,,,,,,
they,two,(measure),all,pull,-ing,(measure),fishpole,#,,,,,,,,
[11],,,,,,,,,,,,,,,,
「,啪,」,一,聲,，,阿一,跌,咗,喺度,，,阿二,跌,咗,落,水,。
#,paak1,#,jat1,seng1,#,Aa3-Jat1,dit3,zo2,hai2-dou6,#,Aa3-Ji6,dit3,zo2,lok6,seoi2,#
#,(sound),#,one,sound,#,Aa One,fall,-ed,right here,#,Aa Two,fall,-ed,down,water,#
[12],,,,,,,,,,,,,,,,
佢哋,唔知道,，,其實,係,啲,魚,做,咗,手腳,……,,,,,,
keoi5-dei6,m4-zi1-dou3,#,kei4-sat6,hai6,di1,jyu2,zou6,zo2,sau2-goek3,#,,,,,,
they,do not know,#,actually,are,those,fish,do,-ed,to fiddle,#,,,,,,
