[2a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,因為,天氣,嘅,問題,，,所以,農夫,嘅,收成,唔係,咁,好,……,」,,,,,,,,,,,,,,,,,,,,,,,,,,
#,jan1-wai6,tin1-hei3,ge3,man6-tai4,#,so2-ji5,nung4-fu1,ge3,sau1-sing4,m4-hai6,gam3,hou2,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,
#,because,weather,(linker),problem,#,therefore,farmer,’s,harvest,is not,so,good,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,
[2b],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,佢哋,唔,試下,種,其他,嘢,嘅,？,」,阿樂,唔係,好,明,。,,,,,,,,,,,,,,,,,,,,,,,,,,
#,keoi5-dei6,m4,si3-haa5,zung3,kei4-taa1,je5,ge2,#,#,Aa3-lok6,m4-hai6,hou2,ming4,#,,,,,,,,,,,,,,,,,,,,,,,,,,
#,they,not,try,to plant,other,thing,(particle),#,#,Lok,not,very,understand,#,,,,,,,,,,,,,,,,,,,,,,,,,,
[3a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,因為,佢哋,冇,錢,買,其他,有機,種子,呀,。,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,jan1-wai6,keoi5-dei6,mou5,cin2,maai5,kei4-taa1,jau5-gei1,zung2-zi2,aa3,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,because,they,don't have,money,to buy,other,organic,seed,(particle),#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[3b],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,吓,？,咩,係,『,有機,』,？,同埋,農夫,唔係,好,有錢,嘅咩,？,佢哋,賣,啲,菜,咁,貴,。,」,阿樂,即刻,又,問,。,,,,,,,,,,,,
#,haa2,#,me1,hai6,#,jau5-gei1,#,#,tung4-maai4,nung4-fu1,m4-hai6,hou2,jau5-cin2,ge3-me1,#,keoi5-dei6,maai6,di1,coi3,gam3,gwai3,#,#,Aa3-lok6,zik1-hak1,jau6,man6,#,,,,,,,,,,,,
#,what?,#,what,is,#,organic,#,#,and,farmer,is not,very,rich,(particle),#,they,sell,these,vegetables,so,expensive,#,#,Lok,immediately,again,ask,#,,,,,,,,,,,,
[4a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,『,有機,』,即係,佢哋,種,嘢,嗰陣,冇用到,農藥,，,食,落,會,健康,啲,……,」,,,,,,,,,,,,,,,,,,,,,,
#,#,jau5-gei1,#,zik1-hai6,keoi5-dei6,zung3,je5,go2-zan6,mou5-jung6-dou3,nung4-joek6,#,sik6,lok6,wui5,gin6-hong1,di1,#,#,,,,,,,,,,,,,,,,,,,,,,
#,#,organic,#,that means,they,plant,thing,that time,didn't use,pesticide,#,eat,down,will,healthy,-er,#,#,,,,,,,,,,,,,,,,,,,,,,
[5a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,而且,，,你,咪,睇,啲,菜,好似,好,貴,噉,，,其實,農夫,嘅,收入,得,好少,好少,，,同埋,佢哋,要,用,好多,心機,去,種,啲,菜,，,所以,唔,准,浪費,食物,，,知道冇,？,」
#,ji4-ce2,#,nei5,mai5,tai2,di1,coi3,hou2-ci5,hou2,gwai3,gam2,#,kei4-sat6,nung4-fu1,ge3,sau1-jap6,dak1,hou2-siu2,hou2-siu2,#,tung4-maai4,keoi5-dei6,jiu3,jung6,hou2-do1,sam1-gei1,heoi3,zung3,di1,coi3,#,so2-ji5,m4,zeon2,long6-fai3,sik6-mat6,#,zi1-dou3-mou5,#,#
#,and that,#,you,don't,see,these,vegetables,seems,very,expensive,in this way,#,actually,farmer,’s,earning,only,little,little,#,and,they,need,to use,a lot of ,effort,to,grow,these,vegetables,#,therefore,not,allow,to waste,food,#,understand or not,#,#
[5b],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,知道,！,我,會,食,晒,佢哋,㗎喇,！,」,阿樂,起身,敬,咗,個,禮,。,,,,,,,,,,,,,,,,,,,,,,,
#,zi1-dou3,#,ngo5,wui5,sik6,saai3,keoi5-dei6,gaa3-laa3,#,#,Aa3-lok6,hei2-san1,ging3,zo2,go3,lai5,#,,,,,,,,,,,,,,,,,,,,,,,
#,understand,#,I,will,eat,all,them,(particle),#,#,Lok,get up,give,-en,(measure),salute,#,,,,,,,,,,,,,,,,,,,,,,,
[6a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,噉,我,問下,你,吖,，,如果,你,係,農夫,你,會,點,做,？,」,,,,,,,,,,,,,,,,,,,,,,,,
#,gam2,ngo5,man6-haa5,nei5,aa1,#,jyu4-gwo2,nei5,hai6,nung4-fu1,nei5,wui5,dim2,zou6,#,#,,,,,,,,,,,,,,,,,,,,,,,,
#,then,I,ask,you,(particle),#,if,you,is,farmer,you,will,how,to do,#,#,,,,,,,,,,,,,,,,,,,,,,,,
[7],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,我,諗,我,會,去,銀行,借錢,。,」,阿樂,諗,咗,好,耐,先,答,。,,,,,,,,,,,,,,,,,,,,,,,
#,ngo5,nam2,ngo5,wui5,heoi3,ngan4-hong4,ze3-cin2,#,#,Aa3-lok6,nam2,zo2,hou2,noi6,sin1,daap3,#,,,,,,,,,,,,,,,,,,,,,,,
#,I,think,I,will,go,bank,to borrow money,#,#,Lok,think,-en,very,long time,then,reply,#,,,,,,,,,,,,,,,,,,,,,,,
[8a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,啱,咗,一半,啦,！,佢哋,最後,開,咗,一,間,『,種子,銀行,』,。,」,,,,,,,,,,,,,,,,,,,,,,,
#,ngaam1,zo2,jat1-bun3,laa1,#,keoi5-dei6,zeoi3-hau6,hoi1,zo2,jat1,gaan1,#,zung2-zi2,ngan4-hong4,#,#,#,,,,,,,,,,,,,,,,,,,,,,,
#,correct,-en,half,(particle),#,they,at the end,open,-en,one,(measure),#,seed,bank,#,#,#,,,,,,,,,,,,,,,,,,,,,,,
[8b],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,噉,有,咩,唔同,呀,？,」,阿樂,舉手,問,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,gam2,jau5,me1,m4-tung4,aa3,#,#,Aa3-lok6,geoi2-sau2,man6,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,then,have,what,different,(particle),#,#,Lok,raise hand,to ask,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[9],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,其實,都,係,差唔多,嘅,嘢,嚟,，,只不過,佢哋,存入,銀行,嘅,係,種子,，,而,唔係,錢,。,」,,,,,,,,,,,,,,,,,,,
#,kei4-sat6,dou1,hai6,caa1-m4-do1,ge3,je5,lai4,#,zi2-bat1-gwo3,keoi5-dei6,cyun4-jap6,ngan4-hong4,ge3,hai6,zung2-zi2,#,ji4,m4-hai6,cin2,#,#,,,,,,,,,,,,,,,,,,,
#,actually,also,is,about the same,(linker),thing,(particle),#,but,they,deposit,bank,(linker),is,seed,#,and,is not,money,#,#,,,,,,,,,,,,,,,,,,,
[10],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,過,咗,冇耐,，,啲人,開始,知道,呢,間,種子,銀行,，,之後,就,有,好多,人,嚟,存,種子,喇,！,」,,,,,,,,,,,,,,,,,
#,gwo3,zo2,mou5-noi2,#,di1-jan4,hoi1-ci2,zi1-dou3,ni1,gaan1,zung2-zi2,ngan4-hong4,#,zi1-hau6,zau6,jau5,hou2-do1,jan4,lai4,cyun4,zung2-zi2,laa3,#,#,,,,,,,,,,,,,,,,,
#,pass,-en,a while,#,people,begin,to know,this,(measure),seed,bank,#,after,then,have,many,people,come,to deposit,seed,(particle),#,#,,,,,,,,,,,,,,,,,
[11],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,依家,銀行,入面,存,咗,好多,唔同,嘅,種子,，,好似,蘋果,籽,、,香蕉,籽,、,橙,籽,……,,,,,,,,,,,,,,,,,,,,
#,ji1-gaa1,ngan4-hong4,jap6-min6,cyun4,zo2,hou2-do1,m4-tung4,ge3,zung2-zi2,#,hou2-ci5,ping4-gwo2,zi2,#,hoeng1-ziu1,zi2,#,caang2,zi2,#,,,,,,,,,,,,,,,,,,,,
#,now,bank,inside,deposit,-en,many,different,(linker),seed,#,such as,apple,seed,#,banana,seed,#,orange,seed,#,,,,,,,,,,,,,,,,,,,,
[12a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,農夫,仲,可以,去,銀行,借,種子,！,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,nung4-fu1,zung6,ho2-ji5,heoi3,ngan4-hong4,ze3,zung2-zi2,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,farmer,even,can,go,bank,to borrow,seed,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[12b],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,借,係咪,要,錢,？,佢哋,唔係,冇錢,嘅咩,？,噉,仲,點,借,種子,？,」,阿樂,忍唔住,問,。,,,,,,,,,,,,,,,,,,,
#,ze3,hai6-mai6,jiu3,cin2,#,keoi5-dei6,m4-hai6,mou5-cin2,ge3-me1,#,gam2,zung6,dim2,ze3,zung2-zi2,#,#,Aa3-lok6,jan2-m4-zyu6,man6,#,,,,,,,,,,,,,,,,,,,
#,borrow,is or isn't,need,money,#,they,is not,no money,(particle),#,then,still,how,to borrow,seed,#,#,Lok,cannot help,asking,#,,,,,,,,,,,,,,,,,,,
[13],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,睇嚟,你,有,留心,聽,喎,！,佢哋,可以,拎,屋企,有,嘅,種子,存,喺,銀行,，,跟住,借,其他,種子,，,借到,種子,就,可以,開始,種,嘢,喇,！,」,,,,,,,
#,tai2-lai4,nei5,jau5,lau4-sam1,teng1,wo3,#,keoi5-dei6,ho2-ji5,ling1,uk1-kei2,jau5,ge3,zung2-zi2,cyun4,hai2,ngan4-hong4,#,gan1-zyu6,ze3,kei4-taa1,zung2-zi2,#,ze3-dou2,zung2-zi2,zau6,ho2-ji5,hoi1-ci2,zung3,je5,laa3,#,#,,,,,,,
#,seems,you,have,pay attention,to listen,(particle),#,they,can,take,home,have,(linker),seed,to deposit,at,bank,#,and then,borrow,other,seed,#,borrowed,seed,then,can,begin,to plant,thing,(particle),#,#,,,,,,,
[14],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
你,估唔估到,啲,農夫,之後,點,呀,？,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nei5,gu2-m4-gu2-dou2,di1,nung4-fu1,zi1-hau6,dim2,aa3,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
you,can or cannot guess,those,farmer,after,how,(particle),#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[15a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,農夫,梗係,收成,好好,啦,！,喺,啱,嘅,天氣,種,啱,嘅,嘢食,。,就好似,唔同,嘅,問題,就,要,用,唔同,嘅,解決,方法,。,阿樂,你,知唔知,呀,？,」,,,,,,,
#,nung4-fu1,gang2-hai6,sau1-sing4,hou2-hou2,laa1,#,hai2,ngaam1,ge3,tin1-hei3,zung3,ngaam1,ge3,je5-sik6,#,zau6-hou2-ci5,m4-tung4,ge3,man6-tai4,zau6,jiu3,jung6,m4-tung4,ge3,gaai2-kyut3,fong1-faat3,#,Aa3-lok6,nei5,zi1-m4-zi1,aa3,#,#,,,,,,,
#,farmer,of course,harvest,good,(particle),#,at,suitable,(linker),weather,plant,suitable,(linker),food,#,just like,different,(linker),problem,then,need,to use,different,(linker),solving,method,#,Lok,you,understant or not,(particle),#,#,,,,,,,
[15b],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,梗係,知,啦,！,對症下藥,呀嘛,。,」,阿樂,笑,咗,一,笑,。,,,,,,,,,,,,,,,,,,,,,,,,,,
#,gang2-hai6,zi1,laa1,#,deoi3-zing3-haa6-joek6,aa1-maa3,#,#,Aa3-lok6,siu3,zo2,jat1,siu3,#,,,,,,,,,,,,,,,,,,,,,,,,,,
#,of course,understand,(particle),#,to suit the remedy to the case,(particle),#,#,Lok,laugh,-en,one,laugh,#,,,,,,,,,,,,,,,,,,,,,,,,,,
[16],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,係,喇,！,叻,喇,！,噉,佢哋,收成,之後,就,要,去,返,銀行,『,還,款,』,喇,，,佢哋,仲,要,還,返,多,少少,嘅,種子,畀,銀行,做,『,利息,』,。,,,
#,hai6,laa3,#,lek1,laa3,#,gam2,keoi5-dei6,sau1-sing4,zi1-hau6,zau6,jiu3,heoi3,faan1,ngan4-hong4,#,waan4,fun2,#,laa3,#,keoi5-dei6,zung6,jiu3,waan4,faan1,do1,siu2-siu2,ge3,zung2-zi2,bei2,ngan4-hong4,zou6,#,lei6-sik1,#,#,,,
#,yes,(particle),#,brilliant,(particle),#,so,they,harvest,after,then,need,to go,back,bank,#,return,loan,#,(particle),#,they,even ,need,to return,back,more,a little,(linker),seed,to,bank,as,#,interest,#,#,,,
[17],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,就係噉,，,佢哋,間,種子,銀行,嘅,種子,越嚟越多,，,啲,農夫,可以,因應,唔同,天氣,種,返,啱,嘅,嘢食,。,故事,講,到,呢度,，,阿樂,你,學到,啲,咩,呀,？,」,,,,,
#,zau6-hai6-gam2,#,keoi5-dei6,gaan1,zung2-zi2,ngan4-hong4,ge3,zung2-zi2,jyut6-lai4-jyut6-do1,#,di1,nung4-fu1,ho2-ji5,jan1-jing3,m4-tung4,tin1-hei3,zung3,faan1,ngaam1,ge3,je5-sik6,#,gu3-si6,gong2,dou3,nei1-dou6,#,Aa3-lok6,nei5,hok6-dou2,di1,me1,aa3,#,#,,,,,
#,in this way,#,their,(measure),seed,bank,’s,seed,more and more,#,those,farmer,can,in response to,different,weather,plant,back,suitable,(linker),food,#,story,say,until,here,#,Lok,you,learnt,some,what,(particle),#,#,,,,,
[18],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,第一,，,農夫,想,我哋,食,得,健康,啲,，,所以,會,種,啲,有機,食物,。,」,,,,,,,,,,,,,,,,,,,,,,
#,dai6-jat1,#,nung4-fu1,soeng2,ngo5-dei6,sik6,dak1,gin6-hong1,di1,#,so2-ji5,wui5,zung3,di1,jau5-gei1,sik6-mat6,#,#,,,,,,,,,,,,,,,,,,,,,,
#,first,#,farmer,want,us,to eat,(suffix),healthy,-er,#,therefore,will,plant,some,organic,food,#,#,,,,,,,,,,,,,,,,,,,,,,
[19],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,因為,種,有機,食物,係,唔,會,用到,農藥,嘅,。,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,jan1-wai6,zung3,jau5-gei1,sik6-mat6,hai6,m4,wui5,jung6-dou3,nung4-joek6,ge3,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,because,plant,organic,food,is,not,will,use,pesticide,(particle),#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[20],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
媽媽,點點頭,：,「,係,喇,。,其實,呢個,故事,係,真人真事,，,世界上,真係,有,種子,銀行,㗎,！,,,,,,,,,,,,,,,,,,,,,
maa4-maa1,dim2-dim2-tau4,#,#,hai6,laa3,#,kei4-sat6,nei1-go3,gu3-si6,hai6,zan1-jan4-zan1-si6,#,sai3-gaai3-soeng6,zan1-hai6,jau5,zung2-zi2,ngan4-hong4,gaa3,#,,,,,,,,,,,,,,,,,,,,,
mother,nod,#,#,yes,(particle),#,actually,this one,story,is,true story,#,in the world,really,have,seed,bank,(particle),#,,,,,,,,,,,,,,,,,,,,,
[21],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,佢,最,開始,係,由,一,班,女人,建立,嘅,，,依家,好多,地方,都,有,㗎喇,。,你,仲有冇,學到,其他,嘢,呀,？,」,,,,,,,,,,,,,,
#,keoi5,zeoi3,hoi1-ci2,hai6,jau4,jat1,baan1,neoi5-jan2,gin3-lap6,ge3,#,ji1-gaa1,hou2-do1,dei6-fong1,dou1,jau5,gaa3-laa3,#,nei5,zung6-jau5-mou5,hok6-dou3,kei4-taa1,je5,aa3,#,#,,,,,,,,,,,,,,
#,it,most,beginning,is,by,a,group of,women,establish,(particle),#,now,many,place,"all, also",have,(particle),#,you,still have or haven't,learnt,other,thing,(particle),#,#,,,,,,,,,,,,,,
[22],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
阿樂,又,起身,敬禮,話,：,「,有,啊,！,就係,要,多謝,農夫,同,好好,愛惜,食物,！,」,,,,,,,,,,,,,,,,,,,,,
Aa3-lok6,jau6,hei2-san1,ging3-lai5,waa6,#,#,jau5,aa3,#,zau6-hai6,jiu3,do1-ze6,nung4-fu1,tung4,hou2-hou2,oi3-sik1,sik6-mat6,#,#,,,,,,,,,,,,,,,,,,,,,
Lok,again,stand up,to salute,say,#,#,have,(particle),#,that is,need,to thank ,farmer,and,well,cherish,food,#,#,,,,,,,,,,,,,,,,,,,,,
