#,I,think,well,-en,(particle),#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1c],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,咁,快,？,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,gam3,faai3,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,so,fast,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1d],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,我,成日,嚟,，,記得,晒,有,咩,食,。,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,ngo5,seng4-jat6,lei4,#,gei3-dak1,saai3,jau5,me1,sik6,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,I,all the time,come,#,remember,all,have,what,to eat,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1e],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,哦,，,係呀,……,好,好食,㗎,？,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,o3,#,hai6-aa4,#,hou2,hou2-sik6,gaa4,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,Oh!,#,really?,#,very,tasty,(particle),#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1f],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,唔,差,。,」,原來,佢,成日,嚟,食,，,我,都係,呢,刻,先,知,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,m4,caa1,#,#,jyun4-loi4,keoi5,seng4-jat6,lei4,sik6,#,ngo5,dou1-hai6,nei1,hak1,sin1,zi1,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,not,bad,#,#,it turns out,he,all the time,come,to eat,#,I,also is,this,moment,then,know,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[2a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
我,四十一,歲,，,喺,機場,做,維修,，,一,星期,要,返,六,日,，,朝,七,晚,七,。,我,廿二,歲,就,學人,結婚,，,廿四,歲,仲,做,埋,老豆,。,不過,我,唔識,做人,老公,，,結果,五,年,前,老婆,決定,同,我,離婚,。,我,亦都,唔識,做人,老豆,：,我,每日,有,十,幾,個鐘,唔,喺,屋企,，,好少,時間,同,阿仔,相處,。,我,離婚,嗰時,佢,至,啱啱,升,中,一,，,件,事,對,佢,嘅,學業,成績,影響,好,大,；,好彩,嗰時,有,阿媽,嚟,幫手,照顧,佢,。,,,,,,,,,,,,,,,,,,,,,,,,,,
ngo5,sei3-sap6-jat1,seoi3,#,hai2,gei1-coeng4,zou6,wai4-sau1,#,jat1,sing1-kei4,jiu3,faan1,luk6,jat6,#,ziu1,cat1,maan5,cat1,#,ngo5,jaa6-ji6,seoi3,zau6,hok6-jan4,git3-fan1,#,jaa6-sei3,seoi3,zung6,zou6,maai4,lou5-dau6,#,bat1-gwo3,ngo5,m4-sik1,zou6-jan4,lou5-gung1,#,git3-gwo2,ng5,nin4,cin4,lou5-po4,kyut3-ding6,tung4,ngo5,lei4-fan1,#,ngo5,jik6-dou1,m4-sik1,zou6-jan4,lou5-dau6,#,ngo5,mui5-jat6,jau5,sap6,gei2,go3-zung1,m4,hai2,uk1-kei2,#,hou2-siu2,si4-gaan3,tung4,aa3-zai2,soeng1-cyu5,#,ngo5,lei4-fan1,go2-si2,keoi5,zi3,ngaam1-ngaam1,sing1,zung1,jat1,#,gin6,si6,deoi3,keoi5,ge3,hok6-jip6,sing4-zik1,jing2-hoeng2,hou2,daai6,#,hou2-coi2,go2-si4,jau5,aa3-maa1,lei4,bong1-sau2,ziu3-gu3,keoi5,#,,,,,,,,,,,,,,,,,,,,,,,,,,
I,forty-one,year-old,#,at,airport,do,maintenance,#,one,week,have to,work,six,day,#,morning,seven,night,seven,#,I,twenty-two,year-old,then,like others,get married,#,twenty-four,year-old,even,be,also,dad,#,however,I,don't know,to be someone's,husband,#,in the end,five,year,ago,wife,decide,with,I,divorce,#,I,also,don't know,to be someone's,dad,#,I,every day,have,ten,several,hour(s),not,at,home,#,very little,time,with,son,get along,#,I,divorce,that time,he,then,just,rise to,secondary,one,#,(measure),matter,towards,he,(linker),studies,result,influence,very,big,#,luckily,at that time,have,Mum,come,to help,look after,he,#,,,,,,,,,,,,,,,,,,,,,,,,,,
[2b],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
未,離婚,前,，,老婆,成日,等,埋,我,返屋企,至,開飯,，,話,個,仔,見,唔到,我,就,唔,肯,食,。,離婚,之後,，,我,吩咐,阿仔,唔使,等,我,：,我,幾乎,每,朝,出門,前,都會,擺,低,錢,，,叫,佢,夜晚,自己,出街,食,。,我,阿媽,有時,睇唔過眼,，,就,接,個,孫,返,自己,屋企,，,親手,煮飯,佢,食,。,依家,諗落,，,我,真係,好,耐,冇,試過,噉樣,同,佢,一齊,坐低,食,餐,飯,，,仲要,係,早餐,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mei6,lei4-fan1,cin4,#,lou5-po4,seng4-jat6,dang2,maai4,ngo5,faan1-uk1-kei2,zi3,hoi1-faan6,#,waa6,go3,zai2,gin3,m4-dou2,ngo5,zau6,m4,hang2,sik6,#,lei4-fan1,zi1-hau6,#,ngo5,fan1-fu3,aa3-zai2,m4-sai2,dang2,ngo5,#,ngo5,gei1-fu4,mui5,ziu1,ceot1-mun4,cin4,dou1-wui5,baai2,dai1,cin2,#,giu3,keoi5,je6-maan5,zi6-gei2,ceot1-gaai1,sik6,#,ngo5,aa3-maa1,jau5-si4,tai2-m4-gwo3-ngaan5,#,zau6,zip3,go3,syun1,faan1,zi6-gei2,uk1-kei2,#,can1-sau2,zyu2-faan6,keoi5,sik6,#,ji1-gaa1,nam2-lok6,#,ngo5,zan1-hai6,hou2,noi6,mou5,si3-gwo3,gam2-joeng2,tung4,keoi5,jat1-cai4,co5-dai1,sik6,caan1,faan6,#,zung6-jiu3,hai6,zou2-caan1,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
not yet,divorce,before,#,wife,all the time,wait,also,I,go home,then,start meal,#,say,(measure),son,see,cannot,I,then,not,agree to,eat,#,divorce,after,#,I,instruct,son,no need,to wait,I,#,I,almost,every,morning,go out,before,always will,put,down,money,#,tell,he,night,on one's own,go out,to eat,#,I,Mum,sometimes,unable to bear this,#,then,pick up,(measure),grandson,return,oneself,home,#,personally,cook meal,he,to eat,#,now,think of it,#,I,really,very,long time,don't have,tried,this way,with,he,together,sit down,eat,(measure),meal,#,furthermore,is,breakfast,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[2c],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
但,佢,只係,嗌,咗,碗,公仔麪,，,噉,夠,飽,咩,？,一個,牛高馬大,嘅,後生仔,，,照計,胃口,點,都會,大,過,我,呢個,阿叔,啩,？,「,伙記,，,加,多,份,西多士,吖,！,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
daan6,keoi5,zi2-hai6,aai3,zo2,wun2,gung1-zai2-min6,#,gam2,gau3,baau2,me1,#,jat1-go3,ngau4-gou1-maa5-daai6,ge3,hau6-saang1-zai2,#,ziu3-gai3,wai6-hau2,dim2,dou1-wui5,daai6,gwo3,ngo5,nei1-go3,aa3-suk1,gwaa3,#,#,fo2-gei3,#,gaa1,do1,fan6,sai1-do1-si2,aa1,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
but,he,just,order,-en,bowl of,instant noodles,#,this way,sufficient,full,(particle),#,one (measure),hulky,(linker),young lad,#,normally,appetite,no matter how,also will,big,than,I,this,uncle,(particle),#,#,Buddy,#,add,more,(measure),french toast,(particle),#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[2d],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,你,好,肚餓,呀,？,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,nei5,hou2,tou5-ngo6,aa4,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,you,very,hungry,(particle),#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[2e],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,唔係呀,，,我,驚,你,唔,夠,飽,吖嘛,。,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,m4-hai6-aa3,#,ngo5,geng1,nei5,m4,gau3,baau2,aa1-maa3,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,no,#,I,afraid,you,not,sufficient,full,(particle),#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[2f],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,我,一,碗,麪,夠,㗎喇,。,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,ngo5,jat1,wun2,min6,gau3,gaa3-laa3,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,I,one,bowl of,noodles,enough,(particle),#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[2g],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,欸,，,多士,可以,兩份,食,嘅啫,！,」,我,將,西多士,切開,兩,邊,，,食,咗,半,份,；,但係,另外,嗰,半,份,阿仔,由始至終,都,冇,掂,過,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,ei3,#,do1-si2,ho2-ji5,loeng5-fan2,sik6,ge3-ze1,#,#,ngo5,zoeng1,sai1-do1-si2,cit3-hoi1,loeng5,bin1,#,sik6,zo2,bun3,fan6,#,daan6-hai6,ling6-ngoi6,go2,bun3,fan6,aa3-zai2,jau4-ci2-zi3-zung1,dou1,mou5,dim3,gwo3,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,sigh,#,toast,can,shared between two people,to eat,(particle),#,#,I,take,french toast,cut,two,side,#,eat,-en,half,portion,#,but,the other,that,half,portion,son,from start to finish,"all, also",don't have,touch,-ed,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[2h],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,你,真係,夠,飽,？,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,nei5,zan1-hai6,gau3,baau2,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,you,really,sufficient,full,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[2i],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,OK,啊,，,夠,㗎喇,。,」,唔通,佢,真係,咁,細食,？,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,ou1-kei1,aa3,#,gau3,gaa3-laa3,#,#,m4-tung1,keoi5,zan1-hai6,gam3,sai3-sik6,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,okay,(particle),#,enough,(particle),#,#,could it be,he,really,so,small appetite,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[2j],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,……,噉,我,食,埋,佢,啦,。,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,#,gam2,ngo5,sik6,maai4,keoi5,laa3,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,#,then,I,eat,also,it,(particle),#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[3a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
我,一路,食,，,一路,發覺,我,唔知,點,開口,同,佢,傾偈,，,結果,我哋,七,點,坐低,，,搭半,過,啲,就,已經,食,完,埋單,。,我,見,仲,咁,早,，,咪,撩,佢,踩單車,——,我,見,佢,擺,咗,架,都,幾,貴,嘅,單車,喺,屋企,，,佢,應該,好,鍾意,踩單車,——,點知,佢,話,攰,，,想,返屋企,瞓覺,。,返,到,屋企,，,佢,粒聲冇出,就,入,房,閂門,。,望住,呢個,畫面,，,我,都,唔知,仲,可以,做,咩,，,最後,唯有,拎,我,自己,架,二手,單車,落樓,，,一個人,由,大埔,踩,去,沙田,。,,,,,,,,,,,,,,,,,,,,
ngo5,jat1-lou6,sik6,#,jat1-lou6,faat3-gok3,ngo5,m4-zi1,dim2,hoi1-hau2,tung4,keoi5,king1-gai2,#,git3-gwo2,ngo5-dei6,cat1,dim2,co5-dai1,#,daap6-bun3,gwo3,di1,zau6,ji5-ging1,sik6,jyun4,maai4-daan1,#,ngo5,gin3,zung6,gam3,zou2,#,mai6,liu4,keoi5,caai2-daan1-ce1,#,ngo5,gin3,keoi5,baai2,zo2,gaa3,dou1,gei2,gwai3,ge3,daan1-ce1,hai2,uk1-kei2,#,keoi5,jing1-goi1,hou2,zung1-ji3,caai2-daan1-ce1,#,dim2-zi1,keoi5,waa6,gui6,#,soeng2,faan1-uk1-kei2,fan3-gaau3,#,faan1,dou3,uk1-kei2,#,keoi5,nap1-seng1-mou5-ceot1,zau6,jap6,fong2,saan1-mun4,#,mong6-zyu6,nei1-go3,waa2-min2,#,ngo5,dou1,m4-zi1,zung6,ho2-ji5,zou6,me1,#,zeoi3-hau6,wai4-jau5,ling1,ngo5,zi6-gei2,gaa3,ji6-sau2,daan1-ce1,lok6-lau2,#,jat1-go3-jan6,jau4,daai6-bou3,caai2,heoi3,saa1-tin4,#,,,,,,,,,,,,,,,,,,,,
I,while,eat,#,while,realise,I,don't know,how,to open mouth,with,he,chat,#,result,we,seven,o'clock,sit down,#,on half (hour),pass,a bit,then,already,eat,finish,check the bill,#,I,see,still,so,early,#,then,try to get,he,to ride bicycle,#,I,see,he,put,-en,(measure),also,quite,expensive,(linker),bicycle,at,home,#,he,should,very,like to,ride bicycle,#,unexpectedly,he,say,tired,#,want to,go home,to sleep,#,return,to,home,#,he,without a word,then,enter,room,close the door,#,staring,this,scene,#,I,"all, also",don't know,still,can,do,what,#,in the end,only,take,I,oneself,(measure),second-hand,bicycle,go downstairs,#,alone,from,Tai Po,ride,to,Sha Tin,#,,,,,,,,,,,,,,,,,,,,
[4a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
阿仔,今朝,問,過,我,做咩,今日,唔使,返工,，,我,話,我,請,咗,假,，,不過,我,冇,講,點解,——,「,阿仔,，,其實,我,今朝,原本,係,諗住,去,探,一個,由,細,玩,到,大,嘅,老友,，,佢,早,幾,日,突然,心臟病發,入,咗,醫院,……,但,遺憾,嘅,係,，,我,最後,探,佢,唔成,——,因為,佢,老婆,凌晨,五,點,打畀,我,，,話,佢,已經,走,咗,。,聽到,呢個,消息,，,我,個,腦,一片空白,，,完全,唔知,可以,做,咩,……,最後,我,諗,到,嘅,，,就係,想,同,你,好好哋,食,返,餐,飯,……,」,踩,到,去,威爾斯,附近,嗰陣,，,我,忍唔住,停低,send,咗,呢,段,錄音,畀,佢,……
